蹏,蹄
蹩,䠥
蹰,躕
蹻,勪
躕,蹰
躚,蹮
躢,蹋
躭,耽
躳,躬
軄,職
軄,聀
軏,䡇
軨,䡼
輏,輶
輧,軿
輭,軟
輶,輏
輺,輜
轝,輿
辝,辞
辝,辭
辝,辤
辠,罪
辤,辞
辤,辭
辤,辝
迁,遷
迁,拪
迆,迤
迊,匝
迊,帀
迤,迆
逈,迥
逈,䢛
逷,逖
邛,卭
邢,郉
邽,郌
郌,邽
郄,郤
郒,郎
郒,郞
郶,部
鄖,䢵
鄷,酆
鄼,酇
酇,鄼
酙,斟
酧,酬
酧,醻
醎,鹹
醕,醇
醕,䣩
醻,酬
醻,酧
醿,釄
醿,醾
釬,銲
釯,鋩
釰,釼
釰,剣
釰,劍
釰,劔
釰,劒
釰,剱
鉎,鍟
鉥,錰
銒,鈃
銲,釬
銽,銛
銿,鏞
鋣,鎁
錤,䥓
鍑,鍢
鍯,鏓
鍳,鑑
鍳,鑒
鍿,錙
鎁,鋣
鎦,鐂
鏁,鎖
鏁,鎻
鏓,鍯
鏞,銿
鐂,鎦
鐗,鐧
鐮,鎌
鑣,䮽
鑭,钄
钄,鑭
镸,長
镸,兏
镹,久
镹,乆
閴,闃
閺,閿
閿,閺
阥,陰
阥,侌
阥,阴
阥,隂
阦,陽
阦,阳
阱,㘫
阳,陽
阳,阦
阸,阨
陴,隦
隂,陰
隂,侌
隂,阴
隂,阥
隄,䧑
隟,隙
隦,陴
隯,陦
隺,寉
嶲,巂
嶲,雟
雝,雍
雞,鶏
雞,鷄
雟,巂
雟,嶲
雱,霶
霚,霧
霛,霊
霛,靈
霛,䨩
霛,㚑
霛,灵
霡,霢
霢,霡
靁,雷
靊,霻
靣,面
鞖,䪎
鞟,鞹
鞱,韜
鞲,韝
鞵,鞋
鞸,韠
鞹,鞟
鞺,鼞
韄,䪝
韊,䪍
韔,䩨
韘,弽
韝,鞲
韠,鞸
韤,韈
韯,韱
韱,韯
頳,赬
頳,䞓
頥,頤
頥,顊
頾,髭
顊,頤
顊,頥
顖,囟
顖,䪿
顙,䫙
顚,傎
颻,䬙
飅,飀
飈,飆
飈,飇
飌,風
飌,凬
飌,凮
飡,餐
飡,湌
飧,飱
飪,餁
餈,䭣
餚,肴
饍,膳
馱,駄
馿,驢
駞,駝
駵,騮
駵,驑
駵,駠
騌,騣
騐,験
騐,驗
騣,騌
騭,隲
騮,駵
騮,驑
騮,駠
驇,騺
驄,騘
驑,駵
驑,騮
驑,駠
骪,骫
髈,膀
髕,臏
髗,顱
髠,髡
髠,髨
髤,髹
髩,鬢
髩,鬂
髹,髤
鬂,鬢
鬂,髩
鬛,鬣
鬛,㲱
鬦,闘
鬦,鬪
鬦,鬭
鬦,閗
鬭,闘
鬭,鬪
鬭,鬦
鬭,閗
鬽,魅
鮆,鱭
鮉,鯛
鮏,鯹
鮝,鯗
鮾,鯘
鯗,鮝
鯘,鮾
鯧,䱽
鯯,䱥
鯹,鮏
鰷,䱔
鱉,鼈
鱉,龞
鱓,䱇
鱪,鱰
鱰,鱪
鱷,鰐
鴼,鷺
鵔,鵕
鵪,鶕
鵪,䨄
鵰,雕
鶃,鶂
鶒,鷘
鶕,鵪
鶕,䨄
鶵,雛
鶿,鷀
鷰,燕
鷰,䴏
鷳,鷴
鷴,鷳
鸊,鷿
鸖,鶴
麄,麁
麄,麤
麇,麏
麏,麇
麏,麕
麖,麠
麤,麄
麬,麩
麬,麸
麬,䴸
麯,麴
麯,麹
麴,麯
麵,麪
黱,黛
鼃,䵷
鼑,鼎
鼔,鼓
鼔,皷
鼖,䩿
鼦,貂
齄,齇
齅,嗅
齇,齄
齞,齴
龐,龎
龒,竜
龒,龍
龞,鼈
龞,鱉
龥,籲
㐂,喜
㐂,歖
㐮,襄
㒵,貌
㒵,皃
㒵,䫉
㕝,事
㕝,亊
㕝,叓
㘅,銜
㘅,啣
㘅,衘
㚑,霊
㚑,靈
㚑,䨩
㚑,霛
㚑,灵
㝡,最
㝡,冣
㝬,簠
㝬,盙
㤗,泰
㩮,攑
㫖,旨
㫪,舂
㬜,晋
㬜,晉
㬢,曦
㮈,㮏
㮤,松
㮤,枩
㮤,枀
㮤,柗
㮤,梥
㯃,桼
㯍,槳
㯰,植
㰏,篙
㽗,畝
㽗,畆
㽗,畒
㽗,畞
㽗,畮
㽵,荘
㽵,莊
䂓,規
䂓,槼
䆴,竈
䆴,竃
䆴,灶
䉤,籔
䋝,纓
䌫,纜
䏮,脇
䑛,舐
䑛,舓
䒳,朶
䒳,朵
䔍,篤
䔥,蕭
䕃,蔭
䖝,虫
䖝,蟲
䖸,蛾
䘏,恤
䘏,卹
䘏,賉
䟽,疏
䠖,趑
䠖,趦
䡄,軌
䡎,轤
䢵,鄖
䦰,鬮
䦰,䰗
䧺,雄
䨄,鵪
䨄,鶕
䨩,霊
䨩,靈
䨩,霛
䨩,㚑
䨩,灵
䬻,餞
䰗,鬮
䰗,䦰
䳄,雌
䵷,鼃
僡,恵
僡,惠
养,養
养,羪
卧,臥
壃,疆
壃,畺
壃,疅
廹,迫
惮,憚
抅,拘
抙,捊
挲,挱
捙,拽
揷,挿
揷,插
斵,斲
昺,昞
晥,皖
栁,柳
栁,桺
栐,柡
梙,槵
棃,梨
棃,梸
槀,槁
槏,榦
槩,概
槩,槪
槪,概
槪,槩
槶,椢
橺,橌
檔,档
淚,泪
湌,餐
湌,飡
漥,窪
灩,灎
灩,灔
猳,豭
玨,珏
瘘,瘻
皞,皡
皞,皥
皞,暭
皞,暤
皡,皞
皡,皥
皡,暭
皡,暤
瞩,矚
礮,礟
秌,秋
秌,龝
秌,穐
笻,筇
筹,籌
筿,篠
筿,筱
籯,籝
緀,紪
聃,耼
肤,膚
脍,膾
荣,栄
荣,榮
菡,䓿
萗,策
薰,蘍
藡,荻
藡,蔐
蚉,蚊
蚉,蟁
蝼,螻
諐,愆
踌,躊
躶,裸
郞,郒
鄕,郷
酆,鄷
釄,醾
釄,醿
鍫,鍬
閆,閻
阴,陰
阴,侌
阴,阥
阴,隂
霶,雱
霻,靊
颼,䬒
飇,飆
飇,飈
飰,飯
飱,飧
驘,騾
魲,鱸
鱭,鮆
鷀,鶿
麽,麼
朗,朖
隆,隆
猪,豬
﨟,臈
蘒,蘒
慨,慨
既,既
既,旣
梅,梅
梅,楳
禍,旤
縉,縉
繁,䋣
艹,艹
艹,艹
艹,艹
艹,艹
視,眎
辶,辶
響,响
戶,户
