蕊,異体字,蘂
蕊,異体字,蕋
穀,旧字,穀
迪,異体字,廸
精,旧字,精
猪,旧字,猪
仏,旧字,佛
徳,旧字,德
践,旧字,踐
随,旧字,隨
晋,旧字,晉
謹,旧字,謹
銭,旧字,錢
窓,旧字,窗
輛,異体字,輌
醸,旧字,釀
堕,旧字,墮
図,旧字,圖
禄,旧字,祿
騒,旧字,騷
払,旧字,拂
将,旧字,將
縄,旧字,繩
逸,旧字,逸
層,旧字,層
蕋,異体字,蘂
籤,異体字,籖
廛,異体字,壥
鎮,旧字,鎭
穂,旧字,穗
殴,旧字,毆
藪,異体字,薮
嚔,異体字,嚏
挿,旧字,插
徴,旧字,徵
賤,異体字,賎
館,旧字,館
嬢,旧字,孃
党,旧字,黨
俠,異体字,侠
勖,異体字,勗
啞,異体字,唖
嚙,異体字,噛
囊,異体字,嚢
姮,異体字,嫦
孼,異体字,孽
屢,異体字,屡
屭,異体字,屓
幫,異体字,幇
搔,異体字,掻
攢,異体字,攅
櫱,異体字,蘖
潑,異体字,溌
瀆,異体字,涜
焰,異体字,焔
瑇,異体字,玳
禱,異体字,祷
籒,異体字,籀
繡,異体字,繍
繫,異体字,繋
纘,異体字,纉
萊,異体字,莱
蜹,異体字,蚋
軀,異体字,躯
輀,異体字,轜
醬,異体字,醤
醱,異体字,醗
顚,異体字,顛
鬭,旧字,鬪
鶪,異体字,鵙
鷗,異体字,鴎
鹼,異体字,鹸
麤,異体字,麁
麴,異体字,麹
麵,異体字,麪
鼴,異体字,鼹
俱,異体字,倶
吞,異体字,呑
噓,異体字,嘘
姸,異体字,妍
屛,異体字,屏
幷,異体字,并
畬,異体字,畭
簞,異体字,箪
蟬,異体字,蝉
﨟,異体字,臈
